FIC_ID,FECHA INICIALIZACION,FECHA FINALIZACION,FECHA REGISTRO
3197752,2025-04-03 0:00:00,2025-05-06 0:00:00,2025-03-28 14:10:16
3197723,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:50:57
3197722,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:50:52
3197721,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:50:46
3197720,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:50:40
3197704,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:31:59
3197703,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:31:54
3197702,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:31:48
3197701,2025-04-02 0:00:00,2025-05-05 0:00:00,2025-03-28 13:31:43
3197565,2025-03-31 0:00:00,2025-05-06 0:00:00,2025-03-28 11:35:11
3197562,2025-03-31 0:00:00,2025-05-06 0:00:00,2025-03-28 11:33:58
3197558,2025-03-31 0:00:00,2025-04-29 0:00:00,2025-03-28 11:26:07
3197536,2025-03-31 0:00:00,2025-04-29 0:00:00,2025-03-28 11:24:50
3197535,2025-03-31 0:00:00,2025-04-29 0:00:00,2025-03-28 11:23:35
3197534,2025-03-31 0:00:00,2025-04-29 0:00:00,2025-03-28 11:22:18
3197525,2025-04-03 0:00:00,2025-05-09 0:00:00,2025-03-28 11:13:59
3197522,2025-04-03 0:00:00,2025-05-09 0:00:00,2025-03-28 11:12:27
3197509,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 11:05:29
3197503,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 11:06:48
3197487,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 11:04:01
3197483,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 11:02:39
3197472,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:59:42
3197469,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:58:27
3197463,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:57:10
3197460,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:55:54
3197432,2025-04-01 0:00:00,2025-05-07 0:00:00,2025-03-28 10:48:22
3197431,2025-04-01 0:00:00,2025-05-07 0:00:00,2025-03-28 10:48:14
3197430,2025-04-01 0:00:00,2025-05-07 0:00:00,2025-03-28 10:48:11
3197429,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:47:19
3197428,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:45:51
3197426,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:51:16
3197405,2025-04-01 0:00:00,2025-04-15 0:00:00,2025-03-28 10:43:56
3197361,2025-04-01 0:00:00,2025-04-28 0:00:00,2025-03-28 10:21:48
3144501,,,
3142433,,,
3141821,,,
3145644,,,
